Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Arnulf Rainer ,1929,0,Rote Hand (Red Hand),1985,"EUR 70,000 - EUR 100,000","EUR 112,500",0,25 Nov 2021,"11 Nov - 25 Nov 2021 | Online Auction 20049
20th/21st Century: Amsterdam"
Follower of Hieronymus Bosch,0,0,Damned souls in Hell,0,"USD 20,000 – USD 30,000","USD 25,000",(27 x 21.2 cm.),1 May 2019,"2019 | LIVE AUCTION 17467
OLD MASTER PAINTINGS AND SCULPTURE"
Henri de Toulouse-Lautrec ,1864,Lautrec,Croquis à l'encre,0,"USD 5,000 – USD 7,000","USD 12,500",(17.5 x 21.8 cm.),6 Nov 2014,"2014 | LIVE AUCTION 2889
IMPRESSIONIST & MODERN WORKS ON PAPER SALE"
JULIUS LEBLANC STEWART ,AMERICAN,1919,L'esclave,0,"USD 80,000 - USD 120,000","USD 13,750",(76.2 x 48 cm.),16 Oct 2020,"1 Oct - 16 Oct 2020 | Online Auction 19029
European Art Part II"
"Sir Alfred James Munnings, P.R.A., R.W.S. ",1878,1959,"Looking across the river Barle, Withypool, Devon",0,"GBP 5,000 – GBP 8,000","GBP 42,500",(50.5 x 60.9 cm.),12 Mar 2015,"2015 | LIVE AUCTION 10452
VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART"
Josef Platzer ,Prague,1806,David and Bathsheba,0,"GBP 3,000 – GBP 5,000","GBP 7,250",(51.5 x 41.5 cm.),13 Jul 2017,"2017 | LIVE AUCTION 14448
THE COLLECTION OF RAINE, COUNTESS SPENCER"
A LOUIS XIV BEAUVAIS GROTESQUE TAPESTRY,495,BAPTISTE,"CIRCA 1700, AFTER DESIGNS BY JEAN-BAPTISTE MONNOYER",0,"GBP 40,000 – GBP 60,000","GBP 137,500",0,13 Nov 2018,"2018 | LIVE AUCTION 16221
THE COLLECTOR: EUROPEAN FURNITURE, WORKS OF ART & CERAMICS"
Aaron Wexler ,0,0,Make like the Sun,2007,"GBP 2,000 - GBP 3,000","GBP 2,250",(112 x 82cm.),29 Jun 2018,"20 Jun - 29 Jun 2018 | Online Auction 17018
Handpicked: 50 works selected by the Saatchi Collection - Online Only"
MICHAEL  WEST ,CORINNE,1991,"Shadows of ""Forgotten Ancestors""",1967,"USD 20,000 - USD 30,000","USD 81,250",(151.8 x 122.2 cm.),17 Jul 2019,"9 Jul - 17 Jul 2019 | Online Auction 17443
First Open | Online"
Maria Spartali Stillman ,1844,1927,"A lady with peacocks in a garden, an Italianate landscape beyond",0,"GBP 5,000 – GBP 7,000","GBP 10,625",(42.3 x 43.2 cm.),17 Jun 2014,"2014 | LIVE AUCTION 1545
VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
A PAIR OF NORTH EUROPEAN SCARLET JAPANNED BOOKCASES,0,0,LATE 19TH/EARLY 20TH CENTURY,0,"GBP 4,000 – GBP 6,000","GBP 11,250",0,19 Sep 2019,"2019 | LIVE AUCTION 17346
VISIONS OF COLLECTING: ROYAL AND ARISTOCRATIC, AN IMPORTANT PRIVATE COLLECTION"
Kurt Schwitters ,1887,1948,Ohne titel (Kork-Butterbrot),1937,"USD 70,000 – USD 100,000","USD 200,000",(36.6 x 33.3 cm.),14 Nov 2017,"2017 | LIVE AUCTION 15005
IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE"
PABLO PICASSO ,1881,1973,Oiseau sur la branche (A.R. 175),1952,"GBP 1,000 - GBP 2,000","GBP 3,500",0,20 Jun 2019,"13 Jun - 20 Jun 2019 | Online Auction 17006
Picasso Ceramics Online"
RAYMOND PETTIBON ,0,0,No Title (Look! The Assonances...),1995,"GBP 6,000 - GBP 8,000","GBP 10,000",(75.7 x 55.8cm.),27 Oct 2020,"14 Oct - 27 Oct 2020 | Online Auction 19255
First Open: Post-War & Contemporary Art Online"
Giulio Paolini ,1940,0,Untitled,1992,"EUR 4,000 – EUR 6,000","EUR 4,750",0,21 Apr 2016,"2016 | LIVE AUCTION 3062
POST-WAR AND CONTEMPORARY ART"
Guy Bardone ,1927,0,Plage de la Costa Brava; and a companion painting,0,"USD 2,000 – USD 3,000","USD 4,375",(54.6 x 31.8 cm.),28 Aug 2013,"2013 | LIVE AUCTION 2722
INTERIORS"
Pablo Picasso ,1881,1973,Autoportrait,1955,"EUR 200,000 – EUR 300,000","EUR 644,000",0,20 Oct 2021,"2021 | LIVE AUCTION 20772
COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART."
Eddie Martinez ,1977,0,Untitled,2007,"USD 8,000 - USD 12,000","USD 23,750",(36.2 x 39.1 cm.),18 Aug 2020,"4 Aug - 18 Aug 2020 | Online Auction 18315
First Open"
A VICTORIAN SILVER TEN-LIGHT CANDELABRUM,93,LIGHT,"MARK OF JOHN SAMUEL HUNT, LONDON, 1846",0,"GBP 50,000 – GBP 80,000","GBP 50,000",0,24 May 2018,"2018 | LIVE AUCTION 15491
THE COLLECTOR: SILVER &19TH CENTURY FURNITURE, SCULPTURE & WORKS OF ART"
A PAIR OF LOUIS XVI ORMOLU PRESSE-PAPIERS,15,PAPIERS,LAST QUARTER 18TH CENTURY,0,"GBP 6,000 – GBP 10,000","GBP 10,000",0,15 Jul 2020,"2020 | LIVE AUCTION 18366
THE COLLECTOR: EUROPEAN AND ENGLISH 18TH AND 19TH CENTURY FURNITURE AND WORKS OF ART, SILVER, CERAMICS AND GOLD BOXES"
MAX BECKMANN ,1884,1950,Tanzendes Paar,0,"GBP 3,000 – GBP 5,000","GBP 3,750",0,20 Sep 2018,"2018 | LIVE AUCTION 16013
PRINTS AND MULTIPLES"
